nohup: ignoring input
🧠 Rogers running on port 8080
[Rogers] ❤️ Alive @ 11/9/2025, 7:04:23 PM | Uptime: 3.0 min | RAM: 6.8 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:07:23 PM | Uptime: 6.0 min | RAM: 10.5 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:10:23 PM | Uptime: 9.0 min | RAM: 6.9 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:13:23 PM | Uptime: 12.0 min | RAM: 8.9 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:16:23 PM | Uptime: 15.0 min | RAM: 7.0 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:19:23 PM | Uptime: 18.0 min | RAM: 10.6 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:22:23 PM | Uptime: 21.0 min | RAM: 6.6 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:25:23 PM | Uptime: 24.0 min | RAM: 7.4 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:28:23 PM | Uptime: 27.0 min | RAM: 11.6 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:31:23 PM | Uptime: 30.0 min | RAM: 6.3 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:34:23 PM | Uptime: 33.0 min | RAM: 3.9 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:37:23 PM | Uptime: 36.0 min | RAM: 9.6 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:40:23 PM | Uptime: 39.0 min | RAM: 5.1 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:43:23 PM | Uptime: 42.0 min | RAM: 6.7 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:46:23 PM | Uptime: 45.0 min | RAM: 7.0 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:49:23 PM | Uptime: 48.0 min | RAM: 8.5 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:52:23 PM | Uptime: 51.0 min | RAM: 6.7 MB | Requests: 0
ogers] ❤️ Alive @ 11/9/2025, 7:23:41 PM | Uptime: 54.0 min | RAM: 5.8 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:26:41 PM | Uptime: 57.0 min | RAM: 6.7 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:29:41 PM | Uptime: 60.0 min | RAM: 5.0 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:32:41 PM | Uptime: 63.0 min | RAM: 3.7 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:35:41 PM | Uptime: 66.0 min | RAM: 8.0 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:38:41 PM | Uptime: 69.0 min | RAM: 5.9 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:41:41 PM | Uptime: 72.0 min | RAM: 5.2 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:44:41 PM | Uptime: 75.0 min | RAM: 7.2 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:47:41 PM | Uptime: 78.0 min | RAM: 6.7 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:50:41 PM | Uptime: 81.0 min | RAM: 5.6 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:53:41 PM | Uptime: 84.0 min | RAM: 5.5 MB | Requests: 0
: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:52:54 PM | Uptime: 87.0 min | RAM: 5.4 MB | Requests: 0
Rogers] ❤️ Alive @ 11/9/2025, 7:52:34 PM | Uptime: 90.0 min | RAM: 5.5 MB | Requests: 0
0
[Rogers] ❤️ Alive @ 11/9/2025, 7:41:46 PM | Uptime: 93.0 min | RAM: 5.2 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:44:46 PM | Uptime: 96.0 min | RAM: 7.1 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:47:46 PM | Uptime: 99.0 min | RAM: 6.7 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:50:46 PM | Uptime: 102.0 min | RAM: 5.7 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:53:46 PM | Uptime: 105.0 min | RAM: 5.6 MB | Requests: 0
Rogers] ❤️ Alive @ 11/9/2025, 7:52:45 PM | Uptime: 108.0 min | RAM: 5.5 MB | Requests: 0
